recipient,amount,error
7qH8DzBM6PhxuMWtDsjWUkvagavVXH4RMttXpggFTXi3,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
ERkBbCSnrFdaAfyNrrysHrddHShX4ZrLYmcYp24A6fq,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
BHfu6rdkBge5LaaddWDVUNhoYnUNEsC12fEriMhTZoNr,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
4w4BYrWUdTU5c5h6tNTGtycmtwQNAB6P7381zCFQjVxm,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
9CCuWKqNWgxYBducswq7ea9svsAS7nK6aC1kfujW1LVz,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
8UqrYXW12cLbb5apJsan5pYh7EyCSje6gv3kEhXBCig,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
Gug1QeyKRCFEymbVUBFqaYd5acXEWNYWwWbpVU629TBa,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
C5ymWf6zBkKgLFq2R2dcvEPgpYky33xC9e2Nv4Ht45Ak,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
Di2Bv7cAHBjkV87A6hqS6ZuDnwDM5Aa7uVQ3AjhDVH7o,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
7za8W8UB9N6jkczK5JaiacrpeBGrEL5Y8ahSSCLhMQjG,4500.000000,Error: The recipient address is not funded. Add `--allow-unfunded-recipient` to complete the transfer 
FuheWyATnr6XUsz5tjuRJ4e2SqCKidY1zd4y3zdeQj4X,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
BgbPa3nxzbxfz6zsP2qKzvk37e9uspriZqDKWXzp3L6s,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
4XqCBBoN6wYfeedWVmsLfzqJZXLqbWSTeDXXny8wdQaD,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
F1KG2oKpckaNvxdLzN4n6NjjcpvoWixhJhQZmUsH4zX8,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
6zvABCuEo8TFPKUf2XHM3awuKQrTDvaeXFDWThhqkwcb,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
5nvA9bvBYczvxnuQspzAx1MGYZi2TghTXXMWrKfVbhcR,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
FmEqxgUz3NK6JnzdMT9rhVUEFmpp3x9LnhnpUKTXNn7u,4500.000000,Error: The recipient address is not funded. Add `--allow-unfunded-recipient` to complete the transfer 
BcathNM6TN8rEmM8tVLkhaYVxfQyhPAT1HbuM2ttR4oZ,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
FGa58tEwvRWRXRchieUHUMMLHfmUEtPV7XDdNnsA8jpP,4500.000000,Error: The recipient address is not funded. Add `--allow-unfunded-recipient` to complete the transfer 
32XKXLgPRNh8sXRhsc9V2PbUvJKsJnuTbs5DaQwfCj8N,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
HHGteZxWg1oTrxiVtKCJuMRdaiW1JZjnGdEBNFxVebag,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
FwkahfHXbiJMbhNAQ91GSsxDtceHbA9FxdQHg4qVXF1e,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
6uQeS6Z36ANaC9moG6xsdVQXqUJMMa2JmiuaYbFhMFN8,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
DLJf2urQAjKBZSi8aMATYfvCPUxgWA8TXga6wJKbqutn,4500.000000,Error: The recipient address is not funded. Add `--allow-unfunded-recipient` to complete the transfer 
2bggExqmma6YjSFjAUphmcAgpvJ8wAyHHYG2thG8wPTw,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
7L7Z7bjqtCNBs9Bx72ApgNEhBW5dW9fshQ1tMmBkvio5,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
51S9TgyuvxLUoj4iX6crRDe1aUg4jZzQTuBjHBaYrqp2,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
84jAbTBNe6FiLHXjqgTj2YqYR2QYWb3ehwb7uHr4CLKb,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
EuSHFyaWRMRCQxDGvBpZFUh11ZafNw9gmj2L89xZf7VF,4500.000000,Error: The recipient address is not funded. Add `--allow-unfunded-recipient` to complete the transfer 
8PtHcEWwSsgJ8QxjLxqPLR8Rg32givtyaWBKQq8JEGPq,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
8JKphTJrEvgTo7bmFuZ8LSHSpbh2vrd4Zii7nzyyC1PS,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
4vC6k9GoNNzMvxevQMraztdfe7kp4uSEydjb26WGTYti,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
BeNXH4DdLfRp3tWHKGHBQv8MTae61B6N2xHPo6c71VJF,4500.000000,Error: The recipient address is not funded. Add `--allow-unfunded-recipient` to complete the transfer 
9JTMSQ2fLHyZxdYMtz19Uu6pbNZ73tF7dA53AsG5mXTf,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
5bwdeRw9A76TwDBuZYLcqFZ4ecfeskwbmo13S3KodHEA,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
FVRHaSDdsthJD1E2ym1B45AHmNvpy7RhdfD4YVhWrzCN,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
8fqrrMNCb7GH8amumkAMsAsHetPGGxbUJYQ4KhY6s2NA,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
GmRT4gWxnWinABe46RCS6oKP1J7KvkPkC5iXgwFPi5z2,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
4fEFHkCFFCYZqELQqU4SrdLr7wxTYpMv5Ug4eXhQihGL,4500.000000,Error: The recipient address is not funded. Add `--allow-unfunded-recipient` to complete the transfer 
7x7U8rxybCnyUQcV3ymdUgTNBNMP4Kobjc5cFnV7iMq2,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
Cp623kepeAmuveziXanFp47oMBzFnq6dHaT9wTmUzKgR,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
DXpWHNZ5k677NW2XSGpkaQ9r1faioSZj8VG6MboCPJY9,4500.000000,Error: The recipient address is not funded. Add `--allow-unfunded-recipient` to complete the transfer 
6LSpc9U4FT6WRQkyavd44PL3u9ERRRwxeGjW764dStR8,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
GJgsD2A9FVTVwWw1M9RDbFVetKqYunG1QLzZRo3xm5vo,4500.000000,Error: The recipient address is not funded. Add `--allow-unfunded-recipient` to complete the transfer 
ByUrE9fS5ZWSkDiSbPbfkqHPUdNnpuVSWDuVBkw6Doy2,4500.000000,Error: The recipient address is not funded. Add `--allow-unfunded-recipient` to complete the transfer 
A3NKyq9FydizgaiGD2LYwi4QtxCJBRPec2UeVzdyuTef,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
8jqaADsCDPnavJg95J8Zqcw3d7etb2qAvcr2QnHfCpYe,4500.000000,Error: The recipient address is not funded. Add `--allow-unfunded-recipient` to complete the transfer 
2oevtsDDr19kohK5Zk1zkSktTikB39f1rYii8JF32hhP,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
CTUXyH8wa6ipNA7xj27eitudgzzaX8eY1jEcnTKqxih3,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
2DTbcGDkPy5q9rREhpJ71QpgHxztQUBZAVxWg38hQmay,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
88XorLiapLZuBsF3HeyHCHSFLMooxzw1mPkTummBeebT,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
7EFi1bVtehhnxmDyf1CEeAfAXbQGBfdJnfqjGDhh4Gi9,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
BnXUUb8eERsPEMT3cW5Brpov2FRZ1gqhxJArTNvU76Zq,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
28PRKQEwFE4v8EcGiStq61c3frrBriFQeNDEb75mxLnQ,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
EUQ39ZaQSL3baB8czreRNP6WQzmyeaiDd6bPZSHTJPUV,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
AWCknky2pbENsUdZ9MpQL6mVCCBX6QH4atG4WWfrWeP7,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
9cp4imnjBdX57yPoLC6s9L4fbhQTyEK7YWQevkjMnjyS,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
42r3PqMdiYCiZDxaQWcFuHiekLvpY6HSbgTVfoEtEo8M,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
7HpE4pc8xV7DTN4AZnfrCjmk7KKJet2npVkW3f8tbYdb,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
82gPQFoYTSUMYq1JgEQ9nbcvDeFR8nqTq1BSarTFnnVJ,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
KtGfY1vCpoVaoXp3eU37kwS1DTBe8LiPcVEcdxjPqvM,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
Gfjxb5sv9sEHCYr3xDE9AYLpXdKRFA2CvRLxoEW8uTWr,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
8hmSj8UH3NxBdv4cD1L1GRx44ZFQiSJUUEF8o3Qwp79S,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
Bmy41ykCQ5p6y2Thth2CvDW2tdPps6dWwJRcWRnBpEmB,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
8AXzXsZzZLDyJDdmv63uBqMFd7V6gCshB12AEUp8onF8,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
AtbX6EwWe9E3CcwAvVHQvrZtMKPn1emTsLVU3zy7bHLd,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
EpmuuvNymZNuMHy4QMxKTbfr1oqLXQ7NUxUDNJBA1cHk,4500.000000,Error: The recipient address is not funded. Add `--allow-unfunded-recipient` to complete the transfer 
ExwcyP5BXUBqzM47wNpMpDN9VAaDxTm3gAgHrEpmCBzV,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
6q3KfMj55hECdLAoC9d7AqnjgBHTPPoGNoKDPps1zTfz,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
4jyNf4mdJqv7avDzLCTFHopSHWkgZNPVVKk5qEaxkaSV,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
FFgeVdKHupERDRfR8WAuiqX3NXbV7DYnPPZ1hFAhUHyY,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
DNx5RukXgpgwCDHZjGaRbooyuC9wc7jcyQVWX31oSVo7,4500.000000,Error: The recipient address is not funded. Add `--allow-unfunded-recipient` to complete the transfer 
FZsm4yZGZ1XSBCZNgkL9a192C1sgAuMpDAQR7BCb26Nz,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
FgD79gL1EzG5nDbot9FNmPDZiX4rFJLENoUHhuot2Kvm,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
D7RF6YNu4ZW2FEDfZJ1Uc8eFttye1UTQ2eHiJPeyQpQd,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
9rXm6UpVJsKXm2wu4s2ufJSCpZa34kEJYvto6GYjRkXg,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
EMQr4sRKfFtZHpRtSeahXTNVAwZC88kJRKFzoWsGRgwQ,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
AN4Yuv5TpLUDAX8WBcxDjrZp17Z4TDeVLxPpcGJm8SVh,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
A955rDohm1mtbqnbW4FxoatYFkKxicKQcEsQDh4WJf6D,4500.000000,Error: The recipient address is not funded. Add `--allow-unfunded-recipient` to complete the transfer 
DbiQSTrTzekHFRu6piCWybJjwXbw9gmGVdECXAFXfrts,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
8i9vxk7US4CrYNkYcv6ZdHvQ8PHQYtnSp18iX2zFtsrn,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
Csfbws8qe8QW2vV6wV77QpAJ8Tw1uhze5c8gdZb9zpJW,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
78TSTxdhjM6nXfKwpMHyPjZMQQ3Cp9YrBgCW4TKjbxzD,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
26n8xvVYvXpmJUAu3AeMPnfFMxoCjvMXsmPSFCZVKCRj,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
69RitEj6FYrUUrt5kBg6o3BrdFE3Ur3iAs8QfQ14Z8rk,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
ET8xozHQenmZZig26LEsVxWGu1WebL6u18aCf4rhutY,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
6c7h4YZikZeB4ipjAeXjKxJ5dRbmobCqa9cNksNkEAik,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
5dzw8tmWGSoRb4spJKrApGXf4F1XMZwThKy7byoCi2QU,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
