4nRspwbnr8uTAPh39oTcomAQ6m4HXu7xXfDFasuUVS7F,0.000000000,4500.000000000,4500.000000000
4sNGc1FQ2feWyRxtPiK8uC2YqyL7FutQ82vJemoRMUnh,No token account,Could not find token account,NaN
F3bmkR2bp5ViUuUaKwwaqefTm1rdX7tbhMHgBDLRXAtz,No token account,Could not find token account,NaN
BjpjHuWK26Ma4UXdeXe4gqYTqRXftSAs1rLKpw2Y1hJq,No token account,Could not find token account,NaN
6dZpYyAWMCFmk3cwA1hP56i4eCXoNi3k1HRkB6nuTT5z,No token account,Could not find token account,NaN
FZMVNzSLJ5fkDLKzjgStSV8R1o1vaYszpx81T9t6k9SX,No token account,Could not find token account,NaN
7S1BJmDqtjjPZUWDJbrduT9LFWVXnq8uD9F8dT1xMz6N,0.000000000,4500.000000000,4500.000000000
4MNj9TNtjurenJ2Lb1JqwNCbF6kUe8zXTLAxwuHoWnqH,No token account,Could not find token account,NaN
H7xwUYDAWFJzZUrgH1Kuk25qjMY9q7zC66PLS9saEbEx,No token account,Could not find token account,NaN
6sLKRT7ut5odzjB3KYtrjorpCxbdhmHXDk9Bg9QdGjJ9,0.000000000,4500.000000000,4500.000000000
58MEsZexedEm6YbcTviSmYkH4iomxt38WkgtNeKf3Edp,0.000000000,4500.000000000,4500.000000000
ARUMcPdWMGbYxc2rcVNdXTTH1UsL8YF3ZhPRJuDphJdz,0.000000000,4500.000000000,4500.000000000
ADj4rUxrtBVvxk3UFScsDKCMVfkwivqFkB8zztfqHM5E,No token account,Could not find token account,NaN
Lkc6GnPkCn3yWrbXjq79eynXUv6gZXRy4XN3NHuqd3Z,0.000000000,4500.000000000,4500.000000000
8pDoPLyTPE5WjedmaNt2bNk6v2QhDdWFsPJRy4gRqrSY,No token account,Could not find token account,NaN
AtqyZSwKK5eZSPuxoQiyM7bJAMkXJ8sSZwXh1W3iaV3v,0.000000000,4500.000000000,4500.000000000
DWin2oG2LfS6MK1dLvfrckhQSu4dcDTK79BckhKw46NH,No token account,Could not find token account,NaN
Fjcz2HdrrotqQdo3CAfqVp8JY8QHL666P1iBRJjzmnNd,No token account,Could not find token account,NaN
JBCu81nnGMB4mSJLBPzo7jciLUyEFJErnqJ37jEbJ3o,No token account,Could not find token account,NaN
CCmud9Ppitjy1tDiRFafRM92SiQJQqqcNrWSRiXjGDxp,0.000000000,4500.000000000,4500.000000000
B548Hm7W7P7MQ2Q8SoSbk1uS6nMHsfhTZw2KREwUNpDM,0.000000000,4500.000000000,4500.000000000
7otXZpGbXPWzbbD9CrsR4R1eYgEVGJbywHXiPffzmH8c,No token account,Could not find token account,NaN
6jbvNqDm7k8nYQhzbcx7tM53uU6aZwmqtEPSan8irqcY,No token account,Could not find token account,NaN
39tmDNT1epGRb2VYhPP8ocmcuENMTxiWaH8s1gGUcEHj,No token account,Could not find token account,NaN
FST3ywsNrtKZNKhJvaXYRy3Maz4pFFqCSsNgikhqorW2,0.000000000,4500.000000000,4500.000000000
FGpeGxQ5mXTgQUPi6LN5QDs2K8dNRbV6pvhKwdYtPLLv,No token account,Could not find token account,NaN
AUUQa6FaWw5QVkjpqfkznELhZBQA4wUThhgEh44i6Dfb,0.000000000,4500.000000000,4500.000000000
EWopBuw1KqW1Y38p2f2DCos8PnyZaciUpm39vnrNN2q8,No token account,Could not find token account,NaN
37zHMiZ5acNsRDYu18tQGDMhB81P8NoEq33E4KimzpR4,0.000000000,4500.000000000,4500.000000000
