recipient,amount,error
3ZFCwMB6NKi7pPUMeXi9x4yH42j5wMmrBR1Ymhx8rQGD,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
E8ipwCn88U6hqMoDYBY9xhiAbj1Kc2fHdUXxLVJKBMB3,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
Gj46zAo6BwFpBfUkcWqAJPcyyJeAUYZEx5DuVXRpQBZG,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
6rAWcNuMtrVwxDDEzU8prG9YS7uo974htu7PVgAQrgK,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
Aih2qcsevJfjUTkbXwdTAchtwA5FfyMbyusLaUfhKzjQ,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
3sFKuzKJkRmW99UwQUHgQdjmEEkQS3VFVYNgGsbcDPAH,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
F8PsBdkJs9MeWRTA3WjPy4N8QFn5jZj2eR1BHQaxYjnF,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
7nVk45wg7iHxgk83dinp3imcY2dtgdMZokvGH1w5bXjo,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
4BzuG8jnU77jCFPSBe1bmacE6f5wBrPnbNHNan3Gsvbt,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
H2wasZN99aibYQbUhYTdc3hHfCRT7yssSEsiQQCtJQf5,4500.000000,Error: The recipient address is not funded. Add `--allow-unfunded-recipient` to complete the transfer 
ECKf1WPNscHLaoNuCptWcYqtbQdS1yn56uRJQAntRQNH,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
FCTrGwmhe8xUPzJo44hR6xjrCZRhZviqYSkLXyDULn8a,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
77t2fvVpvhCJcnN9V1ostroiWN8KV6dgX518hsrcK9Ze,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
HSYViyjd71tHpPsMUf23vykTXEoJheSJteUqCL4B2frj,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
C2CrVCU5L62bNSx1CVuinUFXLSGftiWwk8DUx2pEyybN,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
4BdJtTsd2XX8NC6zT7eQN58J4rhvw2Pn1u3QhLa8C25C,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
4Tyd2tRBXNzZP8e865K7qrLaXAr9vb5mLCb3KLmHcLwy,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
4HNDNbL3SbcMGT9gbN36bLR5Ypy7td3pHGTorwY5UngH,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
E9NJErbwyEELDaZpHp7hSeB9vvz5M33KuCwdpaJCX1m5,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
5BaJgegYAKjdBujyav6juXZHECYweayH5Cj96ZWmgeJt,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
73wczFonajJ4EV5mGW4ahJhNNNc2NPLsUp5UWWhjmvst,4500.000000,RPC response error -32002: Transaction simulation failed: Blockhash not found 
3PFJhTAEpBgu8AEFhf6kDaYrqp7U4k9hYQMWuvuLXmnL,4500.000000,Error: The recipient address is not funded. Add `--allow-unfunded-recipient` to complete the transfer 
3DYHHXc9aE23dY8E4zp8sPqhXKAsFrTfgmHrJchVvBW9,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
EWBcSDbxRWkKV759xGjcAyUnWKHVk6PN3b6V12YYfdPM,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
E3m39ZvTb4eTYQucbpue3BcVGsRyjVn1um4kgCvB2S7J,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
BJmg5WcqhRhjG24k2NZxbTpjSnWFBwMuTeBXUa5A9AgQ,4500.000000,Error: The recipient address is not funded. Add `--allow-unfunded-recipient` to complete the transfer 
8f9B9A41HkzqAxQJMKMYhBKjAEMGjdqpesCHRku3naTz,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
5nHsfvA3DirG9ReamBaSPTS665kv36X1wMnGxvpKb1Xh,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
9HRDsCc8YmNHAQ8VRV3xbw2WQvtHNy3ojpXHasPoY6td,4500.000000,RPC response error -32002: Transaction simulation failed: Blockhash not found 
6xUJfC26VHVrj5ygujmBkH8yXLLekdrYTeVqscsqLSMX,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
3G4QJCFrF5VfCG59BgTFYLYWPT1192eTDtbzTkgYzmsq,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
9U8er2Hu5odCuyRpaYciJeT7RZEfNpCjmiSWr5gK6Br7,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
75x3FqwpDe3LDM6fVegotE9diKKeT3e3bU1EMMvAKgXc,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
H68aNWVDGZhvvcKog1cEX4KxvfZQ6EiaErruwzAGJzf2,4500.000000,Error: The recipient address is not funded. Add `--allow-unfunded-recipient` to complete the transfer 
HUdNx6cxK2vy9ZynogRT2f2T1r7DkYVP5ksxV3RmXXBw,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
C4gumCCuaNhr2gLjxktPCZ9cqiK457NEB6eci26maC1s,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
4x5g49Ra9JaBmtjJVSkuKUoDCsndEGKBZZWkLyvkwn6f,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
